LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0703DER0139A,De Ruyter Reservoir,06/18/1995,BS,NA,NA,NA,NA,NA,NA,NA,0.011,NA,19,NA
0703DER0139A,De Ruyter Reservoir,06/25/1988,OW,NA,NA,13.7,NA,NA,NA,8.33,0.011,184,22,7
0703DER0139A,De Ruyter Reservoir,06/30/1991,OW,NA,NA,3.1,NA,NA,NA,8.24,0.011,177,21,6
0703DER0139A,De Ruyter Reservoir,07/16/1995,BS,NA,NA,NA,NA,NA,NA,NA,0.011,NA,20,NA
0703DER0139A,De Ruyter Reservoir,07/16/2000,OW,NA,NA,6.1,NA,NA,NA,7.25,0.011,183,22,4
0703DER0139A,De Ruyter Reservoir,07/28/1996,OW,NA,NA,5,NA,NA,NA,8.15,0.011,179,23,1
0703DER0139A,De Ruyter Reservoir,07/30/1989,OW,NA,NA,4.01,NA,NA,NA,8.2,0.011,179,22,4
0703DER0139A,De Ruyter Reservoir,07/30/1995,OW,NA,NA,4.26,NA,NA,NA,8.16,0.011,184,24.5,1
0703DER0139A,De Ruyter Reservoir,08/02/1990,OW,NA,NA,7.34,NA,NA,NA,6.74,0.011,187,21,2
0703DER0139A,De Ruyter Reservoir,08/11/1991,OW,NA,NA,7.63,NA,NA,NA,8.21,0.011,169,20,9
0703DER0139A,De Ruyter Reservoir,08/11/1996,OW,NA,NA,4.4,NA,NA,NA,7.88,0.011,179,23,1
0703DER0139A,De Ruyter Reservoir,08/13/2000,OW,NA,NA,5.55,NA,NA,NA,8.04,0.011,183,23,4
0703DER0139A,De Ruyter Reservoir,08/14/1994,OW,NA,NA,10.5,NA,NA,NA,8.14,0.011,168,20,6
0703DER0139A,De Ruyter Reservoir,09/07/2016,OW,0.02,NA,1.4,NA,0.263,NA,7.65,0.011,138.4,27,13
0703DER0139A,De Ruyter Reservoir,09/24/1989,BS,NA,NA,NA,NA,NA,NA,8.09,0.011,175,17,5
0703DER0139A,De Ruyter Reservoir,09/26/1993,BS,NA,NA,NA,NA,NA,NA,NA,0.011,NA,17,NA
0703DER0139A,De Ruyter Reservoir,06/16/2002,BS,0.04,NA,NA,NA,0.333,NA,NA,0.01103,NA,15.5,NA
0703DER0139A,De Ruyter Reservoir,09/10/2007,OW,0.01808,NA,4.38,NA,0.55311,NA,7.68,0.0111,132.9,23,15
0703DER0139A,De Ruyter Reservoir,06/02/2003,OW,0.0739,26,2.6,NA,0.2616,NA,8.05,0.0112,188,16,6
0703DER0139A,De Ruyter Reservoir,08/05/2007,OW,0.04616,NA,2.23,NA,0.59338,NA,7.46,0.0112,170.4,27,20
0703DER0139A,De Ruyter Reservoir,08/06/2006,BS,NA,NA,NA,NA,NA,NA,NA,0.0112,NA,19,NA
0703DER0139A,De Ruyter Reservoir,08/06/2016,OW,0.045,NA,2.2,NA,0.239,NA,7.61,0.0112,134.6,26,16
0703DER0139A,De Ruyter Reservoir,09/25/2016,BS,NA,NA,NA,NA,NA,NA,NA,0.0112,NA,20,NA
0703DER0139A,De Ruyter Reservoir,09/15/2013,OW,0,NA,1.8,NA,0.376884,NA,7.64,0.0113,164.5,19.5,23
0703DER0139A,De Ruyter Reservoir,06/10/2009,OW,0.17938,24.88,2.3,NA,0.461813,NA,7.37,0.0114,181.6,22,6
0703DER0139A,De Ruyter Reservoir,06/10/2009,BS,0.14262,NA,NA,NA,NA,NA,NA,0.0114,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,08/09/2015,OW,0.03,17.2,1.5,NA,0.389,NA,8.46,0.0115,175.5,26,7
0703DER0139A,De Ruyter Reservoir,06/11/2012,OW,0.013,25.4,1.8,NA,0.232,NA,7.19,0.0116,143.7,24,17
0703DER0139A,De Ruyter Reservoir,09/03/2012,BS,0.027,NA,NA,NA,NA,NA,NA,0.0116,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,09/05/2005,OW,0.005,NA,3,NA,0.213,NA,7.49,0.0116,144.1,23.5,25
0703DER0139A,De Ruyter Reservoir,09/16/2018,BS,0.122,NA,NA,NA,NA,NA,NA,0.0116,NA,23,NA
0703DER0139A,De Ruyter Reservoir,06/16/2014,BS,0.066,NA,NA,NA,NA,NA,NA,0.0117,NA,19,NA
0703DER0139A,De Ruyter Reservoir,08/17/2009,BS,0.0055,NA,NA,NA,NA,NA,NA,0.0117,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,06/11/2006,BS,NA,NA,NA,NA,NA,NA,NA,0.0118,NA,14.5,NA
0703DER0139A,De Ruyter Reservoir,06/15/2003,BS,0.0911,NA,NA,NA,0.3242,NA,NA,0.0118,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,06/26/2016,OW,NA,NA,1.7,NA,0.261,NA,7.48,0.0118,139.2,25,22
0703DER0139A,De Ruyter Reservoir,07/23/2006,OW,0.02465,NA,9.08,NA,0.58419,NA,7.54,0.0118,147.1,25,14
0703DER0139A,De Ruyter Reservoir,07/27/2008,BS,NA,NA,NA,NA,NA,NA,NA,0.0118,NA,18,NA
0703DER0139A,De Ruyter Reservoir,06/02/2003,BS,0.0681,NA,NA,NA,0.2337,NA,NA,0.0119,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,06/14/1998,OW,NA,NA,8.01,NA,NA,NA,8.01,0.012,174,17.5,4
0703DER0139A,De Ruyter Reservoir,06/22/1997,OW,NA,NA,15,NA,NA,NA,8.28,0.012,178,24,5
0703DER0139A,De Ruyter Reservoir,06/23/1991,OW,NA,NA,3.28,NA,NA,NA,8.34,0.012,55,20,29
0703DER0139A,De Ruyter Reservoir,06/27/1999,OW,NA,NA,6,NA,NA,NA,8.3,0.012,188,24,1
0703DER0139A,De Ruyter Reservoir,07/02/2000,OW,NA,NA,10.6,NA,NA,NA,8.58,0.012,183,22,3
0703DER0139A,De Ruyter Reservoir,07/02/2001,OW,NA,NA,7.15,NA,NA,NA,7.9,0.012,192,20,3
0703DER0139A,De Ruyter Reservoir,07/14/1991,OW,NA,NA,4.3,NA,NA,NA,7.72,0.012,181,21,4
0703DER0139A,De Ruyter Reservoir,08/07/1988,OW,NA,NA,4.51,NA,NA,NA,8.27,0.012,162,24,6
0703DER0139A,De Ruyter Reservoir,08/07/1989,OW,NA,NA,5.51,NA,NA,NA,7.54,0.012,179,24,5
0703DER0139A,De Ruyter Reservoir,08/08/1999,OW,NA,NA,6.25,NA,NA,NA,7.72,0.012,178,23,5
0703DER0139A,De Ruyter Reservoir,08/16/2017,OW,0.008,17.1,1.8,NA,0.435,NA,7.58,0.012,153.3,27,6
0703DER0139A,De Ruyter Reservoir,08/20/1990,OW,NA,NA,8.58,NA,NA,NA,7.98,0.012,177,19,5
0703DER0139A,De Ruyter Reservoir,08/21/1988,BS,NA,NA,NA,NA,NA,NA,8.29,0.012,192,20,8
0703DER0139A,De Ruyter Reservoir,08/25/1991,OW,NA,NA,4.93,NA,NA,NA,8.19,0.012,168,21,4
0703DER0139A,De Ruyter Reservoir,08/26/2001,OW,NA,NA,3.98,NA,NA,NA,7.91,0.012,189,23,5
0703DER0139A,De Ruyter Reservoir,08/29/1993,OW,NA,NA,6.1,NA,NA,NA,8.22,0.012,166,24,3
0703DER0139A,De Ruyter Reservoir,08/29/2018,OW,0.005,NA,11.4,NA,0.38,0.353,7.13,0.012,130.3,27,3
0703DER0139A,De Ruyter Reservoir,09/02/1997,OW,NA,NA,6.49,NA,NA,NA,8.1,0.012,176,22.5,4
0703DER0139A,De Ruyter Reservoir,09/05/1999,OW,NA,NA,3.3,NA,NA,NA,8.12,0.012,175,23,5
0703DER0139A,De Ruyter Reservoir,09/17/1989,BS,NA,NA,NA,NA,NA,NA,8.15,0.012,178,17,4
0703DER0139A,De Ruyter Reservoir,09/18/1988,BS,NA,NA,NA,NA,NA,NA,8.24,0.012,173,18,5
0703DER0139A,De Ruyter Reservoir,10/21/2007,OW,0.01833,NA,1.78,NA,0.504895,NA,7.51,0.012,139.4,17.5,15
