LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0602EAT0163,Eaton Brook Reservoir,07/03/1999,OW,NA,NA,2.35,NA,NA,NA,7.81,0.005,175,23,3
0602EAT0163,Eaton Brook Reservoir,07/03/1999,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/04/2016,OW,0.025,NA,1.7,NA,0.229,NA,8,0.0078,155.1,23,14
0602EAT0163,Eaton Brook Reservoir,07/04/2016,BS,0.071,NA,NA,NA,NA,NA,NA,0.0081,NA,18,NA
0602EAT0163,Eaton Brook Reservoir,07/05/1993,OW,NA,NA,2.87,NA,NA,NA,8.22,0.006,161,22,3
0602EAT0163,Eaton Brook Reservoir,07/05/1993,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/05/2010,OW,0.026,NA,1.6,NA,0.189,NA,7.27,0.0091,154.9,20.8,11
0602EAT0163,Eaton Brook Reservoir,07/05/2010,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/06/2015,OW,0,NA,1.4,NA,0.358,NA,7.56,0.0121,164.4,27,6
0602EAT0163,Eaton Brook Reservoir,07/06/2015,BS,0,NA,NA,NA,NA,NA,NA,0.0089,NA,16,NA
0602EAT0163,Eaton Brook Reservoir,07/07/1997,OW,NA,NA,2.73,NA,NA,NA,8.01,0.004,167,21,5
0602EAT0163,Eaton Brook Reservoir,07/07/1997,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/08/2012,OW,0.02,NA,0.9,NA,0.219,NA,7.42,0.0076,129.5,25,14
0602EAT0163,Eaton Brook Reservoir,07/08/2012,BS,0.013,NA,NA,NA,NA,NA,NA,0.0095,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/09/1989,OW,NA,NA,2.44,NA,NA,NA,8.19,0.006,172,22,10
0602EAT0163,Eaton Brook Reservoir,07/09/1989,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/10/1988,OW,NA,NA,3.92,NA,NA,NA,8.36,0.007,170,27,9
0602EAT0163,Eaton Brook Reservoir,07/10/1988,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/11/1994,OW,NA,NA,2.04,NA,NA,NA,8.25,0.006,148,22,3
0602EAT0163,Eaton Brook Reservoir,07/11/1994,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/11/2000,OW,NA,NA,3.67,NA,NA,NA,8.01,0.006,162,21,6
0602EAT0163,Eaton Brook Reservoir,07/11/2000,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/11/2017,OW,0.021,NA,2.5,NA,0.731,NA,6.83,0.0094,143.3,24,6
0602EAT0163,Eaton Brook Reservoir,07/11/2017,BS,0.083,NA,NA,NA,NA,NA,NA,0.0089,NA,18,NA
0602EAT0163,Eaton Brook Reservoir,07/13/1998,OW,NA,NA,2.21,NA,NA,NA,7.97,NA,155,20,2
0602EAT0163,Eaton Brook Reservoir,07/13/1998,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/14/1992,OW,NA,NA,3.41,NA,NA,NA,8.32,0.008,168,20,7
0602EAT0163,Eaton Brook Reservoir,07/14/1992,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/14/2013,OW,0.03,NA,0.4,NA,0.3,NA,7.75,0.0079,151.9,25,21
0602EAT0163,Eaton Brook Reservoir,07/14/2013,BS,0.097,NA,NA,NA,NA,NA,NA,0.0073,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/15/2011,OW,0.017,NA,1,NA,0.276,NA,7.09,0.0091,147.7,NA,21
0602EAT0163,Eaton Brook Reservoir,07/15/2011,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/15/2018,OW,0.03,NA,NA,NA,0.265,0.278,7.32,0.0048,148,27,0.5
0602EAT0163,Eaton Brook Reservoir,07/15/2018,BS,0.101,NA,NA,NA,NA,NA,NA,0.01815,NA,14,NA
0602EAT0163,Eaton Brook Reservoir,07/16/1989,OW,NA,NA,5.19,NA,NA,NA,8.51,0.008,172,23,5
0602EAT0163,Eaton Brook Reservoir,07/16/1989,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/16/1996,OW,NA,NA,3.4,NA,NA,NA,8.07,0.004,161,22,5
0602EAT0163,Eaton Brook Reservoir,07/16/1996,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/17/1988,OW,NA,NA,0.27,NA,NA,NA,8.32,0.007,171,24,5
0602EAT0163,Eaton Brook Reservoir,07/17/1988,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/18/1999,OW,NA,NA,0.86,NA,NA,NA,8.17,0.008,170,22,5
0602EAT0163,Eaton Brook Reservoir,07/18/1999,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/18/2016,OW,NA,NA,1.5,NA,0.091,NA,7.24,0.0091,144.4,26,21
0602EAT0163,Eaton Brook Reservoir,07/18/2016,BS,NA,NA,NA,NA,NA,NA,NA,0.0107,NA,20,NA
0602EAT0163,Eaton Brook Reservoir,07/19/2010,OW,0.099,NA,2.4,NA,0.329,NA,7.65,0.0027,164.8,24.5,15
0602EAT0163,Eaton Brook Reservoir,07/19/2010,BS,0.056,NA,NA,NA,NA,NA,NA,0.0106,NA,14,NA
