"","Lake_Name","variable","Mean","Median","Min","Max","SD"
"135","Lorton Lake","Extracted_Chl.a",5.64736842105263,3.85,1.1,27.7,5.35530738725134
"136","Millsite Lake","Secchi_Depth",7.50555555555556,7.55,5.15,9.65,0.999444290037663
"137","Millsite Lake","TP",8.60869565217391,7.85,4.5,20.6,3.39436304526958
"138","Millsite Lake","Extracted_Chl.a",1.56222222222222,1.3,0.3,4.4,0.929146453102594
"139","Oquaga Lake","Secchi_Depth",8.13829787234043,7.9,4.85,11.55,1.34074779450635
"140","Oquaga Lake","TP",5.38723404255319,4.8,3.2,14.6,1.99353487895209
"141","Oquaga Lake","Extracted_Chl.a",0.946739130434783,0.85,0.05,2.6,0.477074670828261
"142","Otter Lake","Secchi_Depth",1.5046875,1.5,1.3,1.75,0.104232506074548
"143","Otter Lake","TP",14.0625,13.3,8,30.1,4.35243721119781
"144","Otter Lake","Extracted_Chl.a",4.51935483870968,4.6,1.1,10.1,2.21034225929511
"145","Panther Lake","Secchi_Depth",2.10875,1.975,1.25,5,0.660902336316152
"146","Panther Lake","TP",15.44,14,7.7,58,8.40306183934535
"147","Panther Lake","Extracted_Chl.a",5.74655172413793,5.4,0.05,12.5,3.3743764247869
"148","Peck Lake","Secchi_Depth",3.40477941176471,3.25,2.75,4.5,0.50735139922006
"149","Peck Lake","TP",6.5475,6.4,0,9.9,1.70444178394916
"150","Peck Lake","Extracted_Chl.a",3.01388888888889,2.5,1.3,9.1,1.54108547603449
"151","Pleasant Lake","Secchi_Depth",4.25945945945946,4.3,3.1,5.2,0.384750611478439
"152","Pleasant Lake","TP",7.38648648648649,7.1,4.4,18.7,3.01930475460845
"153","Pleasant Lake","Extracted_Chl.a",2.23055555555556,2.1,0.8,3.9,0.907057863784868
"154","Queechy Lake","Secchi_Depth",5.64021739130435,5.5875,3.15,9.05,1.32722013435005
"155","Queechy Lake","TP",8.735,8.25,5.3,15,2.35225478299069
"156","Queechy Lake","Extracted_Chl.a",1.93723404255319,1.4,0.05,17.5,2.54454805257425
"157","Roaring Brook Lake","Secchi_Depth",2.79230769230769,2.8,1.5,4.3,0.687629266463525
"158","Roaring Brook Lake","TP",12.97,12.5,8.5,21.5,3.56674095297668
"159","Roaring Brook Lake","Extracted_Chl.a",3.69102564102564,3.3,0.05,9.5,2.1537565650348
"160","Round Pond","Secchi_Depth",2.39264705882353,2.4,1.6,3.85,0.497894407836364
"161","Round Pond","TP",10.9529411764706,10.95,6,20.4,2.81610469137754
"162","Round Pond","Extracted_Chl.a",3.67878787878788,2.7,0.5,10.1,2.78553827560285
"163","Sacandaga Lake","Secchi_Depth",4.4875,4.525,3.45,5.45,0.538566939039231
"164","Sacandaga Lake","TP",9.0125,8.4,6,17.5,2.66136815092963
"165","Sacandaga Lake","Extracted_Chl.a",3.55,3.35,1.8,8.3,1.56441073646947
"166","Schroon Lake","Secchi_Depth",3.967,3.8,2.45,7.55,1.02590731102318
"167","Schroon Lake","TP",8.49210526315789,6.5,0,51.6,7.84659184033246
"168","Schroon Lake","Extracted_Chl.a",1.63921568627451,1.6,0.05,6.5,1.23803528727941
"169","Sepasco Lake","Secchi_Depth",3.10090909090909,3.05,1.725,4.7,0.652761507158068
"170","Sepasco Lake","TP",17.6,16.45,10.4,28.8,4.56826359332126
"171","Sepasco Lake","Extracted_Chl.a",5.15,4.3,0.1,15,3.7012639515049
"172","Silver Lake","Secchi_Depth",3.92409090909091,4,2.3,4.9,0.615644182125683
"173","Silver Lake","TP",9.62083333333333,8.7,5.9,18.3,2.8252628070815
"174","Silver Lake","Extracted_Chl.a",4.79787234042553,3.9,0.9,23.2,3.38670606686626
"175","Somerset Lake","Secchi_Depth",4.8375,4.725,2.95,7.9,1.28732569569962
"176","Somerset Lake","TP",10.1212765957447,9.9,3.3,15.5,2.67670597126659
"177","Somerset Lake","Extracted_Chl.a",2.20851063829787,1.7,0.2,9.7,1.83253563785668
"178","Song Lake","Secchi_Depth",2.99567567567568,2.9,1.85,4.75,0.682945176506954
"179","Song Lake","TP",16.46625,16.05,0.45,27.6,4.64456378537428
"180","Song Lake","Extracted_Chl.a",3.985,3.95,0.1,8.2,1.79637098561202
"181","Spring Lake","Secchi_Depth",2.51453125,2.375,1.75,4.7,0.623083331266062
"182","Spring Lake","TP",12.5375,9.1,5.7,43.1,9.80111086528198
"183","Spring Lake","Extracted_Chl.a",1.8046875,1.35,0.05,13.6,2.41918939286456
"184","Taconic Lake","Secchi_Depth",4.36980769230769,4.3625,3.1,6.25,0.727922359553862
"185","Taconic Lake","TP",6.45833333333333,6.15,0.5,14,2.69926184219939
"186","Taconic Lake","Extracted_Chl.a",1.34375,0.95,0.05,6.3,1.30528295283303
"187","Tully Lake","Secchi_Depth",4.15641025641026,3.95,2.5,6.75,0.859366312371742
"188","Tully Lake","TP",14.8,14.6,0,26.1,3.80011198043292
"189","Tully Lake","Extracted_Chl.a",4.53829787234043,4.2,0.2,10.6,2.19718725246318
"190","Tuscarora Lake","Secchi_Depth",4.90384615384615,4.7,1.1,8.8,1.60793200855308
"191","Tuscarora Lake","TP",11.3846153846154,10.4,4.7,21.2,3.26218674330243
"192","Tuscarora Lake","Extracted_Chl.a",2.52702702702703,1.6,0.2,11.2,2.4271209108563
"193","Tuxedo Lake","Secchi_Depth",3.19986486486486,2.9,1.85,8.5,1.21733742154667
"194","Tuxedo Lake","TP",20.4085714285714,17.3,9.3,53.4,9.93041588574545
"195","Tuxedo Lake","Extracted_Chl.a",5.87837837837838,5.2,0.8,17.9,3.4664371025862
"196","Upper Little York Lake","Secchi_Depth",4.18333333333333,4.25,2,6.9,1.05166534601079
"197","Upper Little York Lake","TP",13.2421052631579,12,8.2,28.7,4.77989209303438
"198","Upper Little York Lake","Extracted_Chl.a",2.14459459459459,1.8,0.05,7.8,1.79504657103714
"199","Warn Lake","Secchi_Depth",3.44791666666667,3.5,2,5.5,0.809777900554807
"200","Warn Lake","TP",11.7291666666667,10.8,8.2,21.8,3.05585996764315
"201","Warn Lake","Extracted_Chl.a",4.34130434782609,4.35,1.1,10.4,1.7694413540194
"202","Yankee Lake","Secchi_Depth",3.21183333333333,3.1375,2.3,4.9,0.655390753848332
"203","Yankee Lake","TP",18.1433333333333,13.8,7.9,71.9,14.4030572265497
"204","Yankee Lake","Extracted_Chl.a",2.95333333333333,2.95,0.5,5.8,1.01632649292926
